南瓜子|红宝书必考词U12带背笔记,,,,,
单词,词性,常见含义,考研高频考法,自测例句,巧记方法（仅供参考）
embrace,v./n.,拥抱；欣然接受,观点、政策态度描述，如embrace new ideas（接受新观点）、embrace challenges（迎接挑战）,She embraced the challenge with confidence.,embrace挑战，需要你brave（勇敢的）
embed,v.,嵌入；植入,科技、文化类文章，如embed technology（嵌入技术）、embed in culture（融入文化）,The reporter was embedded with the troops.,em（进入）+bed（床），嵌入床里，联想嵌入、使融入，比如钉子嵌入木头像进了床
embody,v.,体现；具体化,思想、精神、理论相关描述，如embody values（体现价值观）、embody principles（包含原则）,This statue embodies strength and hope.,em（使）+body（身体），使思想进入身体即体现，比如美德体现在行为中
embryo,n.,胚胎,生物、医学、发展类文章，如embryo research（胚胎研究）、in the embryo（在萌芽阶段）,The embryo developed rapidly.,bryo（生长），初始生长的状态就是胚胎
elicit,v.,引出；诱发,心理、调查类文章，如elicit responses（引出反应）、elicit information（诱出信息）,His joke elicited laughter.,e（出）+licit（合法的），引出合法的信息，联想诱出、引出，比如通过提问引出真相
elite,n./adj.,精英；精英的,社会、教育类文章，如the elite class（精英阶层）、elite universities（精英大学）,Only the elite were invited.,精英是e（突出）+lite（光），像发光的人，在人群中突出
elsewhere,adv.,在别处；去别处,地点、场景转换描述，如look elsewhere（看向别处）、move elsewhere（搬到别处）,She went elsewhere for treatment.,else（其他）+where（地方），其他地方，直接拆分记忆
thirst,n.,渴望；口渴,情感、需求表达，如thirst for knowledge（渴望知识）、thirst for success（渴望成功）,He thirsts for adventure.,渴的时候会thirst，记渴望像口渴一样强烈，比如渴望知识像渴了想喝水
thorough,adj.,彻底的；详尽的,过程、研究描述，如thorough research（彻底的研究）、thorough analysis（全面分析）,She gave the room a thorough cleaning.,through（穿过）+out（完全），完全穿过就是彻底的，比如彻底检查就是从头到尾都查到
though,conj./adv.,虽然；不过,"逻辑转折，用于句首或句末表让步，如Though difficult（尽管困难）、It's hard work, though（不过这是辛苦活）","He failed, though he tried hard.",和through对比，少个r，表虽然，转折时用，比如虽然（though）难，但要做
